id,name_en,name_ar,category,subcategory,description,website,instagram,facebook,phone,email,address,city,governorate,lat,lng,opening_hours,price_level,ordering_url,booking_url,menu_url,rating,source,confidence,last_updated,luxury_score,family_score,tourist_score,student_score,corporate_score,gift_suitability
ec28bd10-752a-45a9-b612-0c4a071df0b5,Four Seasons Hotel Amman Spa,,Services,Spa / Massage / Wellness,"Spa day use, massages, facials, body treatments, nail treatments",https://www.fourseasons.com/amman/spa/,,,,,,"5th Circle, Amman",Amman,,,,,,https://www.fourseasons.com/amman/spa/,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,1,0,1,0,0,False
41b6b01c-d756-4881-8e2c-b70264300e0a,Fairmont Amman Spa,,Services,Spa / Massage / Wellness,"Spa treatments, massages, hammam, wellness offers",https://www.fairmont.com/en/hotels/amman/fairmont-amman/wellness/spa.html,,,,,,"5th Circle / Abdoun, Amman",Amman,,,,,,https://www.fairmont.com/en/hotels/amman/fairmont-amman/wellness/spa.html,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,0,0,0,False
c686c661-c669-405d-b32d-2d03956cf1c7,Le Royal Amman - The Royal Spa,,Services,Spa / Gym / Wellness,"Spa, massage, facial treatments, pools, gym memberships",https://amman.leroyal.com/best-spa-in-amman,,,,,,"3rd Circle, Amman",Amman,,,,,,https://amman.leroyal.com/best-spa-in-amman,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,0,0,0,False
82aee399-dbe9-480a-9c65-81981f871aec,Deniz Blue Bath & Spa,,Services,Spa / Turkish Bath / Massage,"Bath and massage services, treatments, men/women sections",https://www.denizjo.com/,,,,,,Amman,Amman,,,,,,https://www.denizjo.com/,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,0,0,0,False
5cb00e85-1e0d-46c0-82c0-2adc8ba9e0f3,Riva Spa,,Services,Women’s Spa / Massage / Beauty,"Women’s spa treatments, massages, facials, hammam",https://riva-spa.net/,,,,,,"Abdali Mall, Amman",Amman,31.9628922,35.9080707,,,,https://riva-spa.net/,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,0,0,0,False
ba3c4958-6dde-4e6d-b40a-a07082938255,Gaia's Cocoon Spa & Beauty Lounge,,Services,Spa / Beauty / Massage,"Spa, beauty lounge, treatments, massages, facials",https://www.gaia-cocoon.com/,,,,,,"Um Uthaina, Amman",Amman,,,,,,https://www.gaia-cocoon.com/,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,0,0,0,False
ae079467-48f2-47a2-9d96-5507af73f265,Al Pasha Turkish Bath,,Services,Turkish Bath / Hammam / Massage,"Turkish bath, Moroccan bath, wellness bath packages",https://www.rj.com/en/explore-jordan/wellness-and-spirituality/serene-sanctuaries/pasha-turkish-bath,,,,,,Jabal Amman,Amman,,,,,,https://www.rj.com/en/explore-jordan/wellness-and-spirituality/serene-sanctuaries/pasha-turkish-bath,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,0,0,0,False
8dc3fa87-b586-48d4-842c-15682c8d4a73,Ma'in Hot Springs Resort & Spa,,Services,Hot Springs / Spa / Wellness Resort,"Hot springs stay, spa, wellness experiences",https://www.mainhotsprings.jo/,,,,,,Ma'in / Dead Sea area,,,,,,,https://www.mainhotsprings.jo/,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,1,0,0,False
2d6a3837-0a61-4db8-b440-dd1c3d47f4a2,Dead Sea Spa Resort,,Services,Spa Resort / Wellness,"Dead Sea resort stay, spa, massage treatments",https://dssh.jo/,,,,,,"Dead Sea, Jordan",,,,,,,https://dssh.jo/,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,2,0,0,False
8376f23d-f334-4385-9d04-bd9ce196af34,Thousand Nights Hotel Turkish Bath,,Services,Turkish Bath / Sauna / Massage,"Turkish bath, sauna, jacuzzi, massage room",https://thousandnights.com/turkish-bath/,,,,,,Amman,Amman,,,,,,https://thousandnights.com/turkish-bath/,,,ChatSouq SERVICES.xlsx,high,2026-06-07T11:42:18.228630Z,0,0,1,0,0,False
